TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,3,0
1,6,1
2,10,0
3,3,0
4,5,0
5,10,0
6,2,0
7,12,1
8,7,0
9,8,0
10,10,2
11,8,0
12,9,0
13,2,0
14,12,1
15,14,0
16,4,0
17,4,0
18,6,0
19,8,1
20,3,0
21,4,0
22,3,0
23,10,0
24,10,0
25,3,0
26,7,0
27,9,1
28,4,0
29,4,0
30,10,0
31,3,0
32,3,0
33,7,0
34,16,2
35,8,0
36,4,0
37,5,1
38,10,0
39,3,0
40,6,0
41,10,1
42,9,0
43,5,0
44,7,0
45,8,0
46,6,0
47,3,0
48,6,1
49,9,0
50,3,0
51,7,0
52,3,0
53,4,0
54,14,0
55,11,1
56,8,0
57,3,0
58,10,0
59,3,0
60,4,0
61,10,1
62,6,0
63,9,1
64,4,0
65,9,0
66,4,0
67,17,1
68,9,0
69,10,1
70,8,0
71,8,0
72,3,0
73,6,0
74,10,1
75,4,0
76,18,1
77,3,0
78,3,0
79,3,0
80,14,1
81,7,0
82,8,0
83,7,0
84,6,1
85,3,0
86,10,0
87,6,0
88,6,0
89,4,0
90,5,1
91,8,0
92,10,0
93,3,0
94,16,2
95,11,1
96,3,0
97,4,0
98,10,0
99,10,0
100,4,0
101,15,1
102,6,0
103,25,2
104,3,0
105,17,1
106,8,1
107,8,0
108,10,1
109,5,0
110,3,0
111,10,0
112,4,0
113,14,1
114,3,0
115,6,0
116,6,0
117,15,0
118,3,0
119,3,0
120,4,0
121,8,1
122,7,0
123,13,0
124,4,0
125,6,1
126,10,0
127,14,0
128,3,0
129,8,1
130,4,0
131,11,0
132,4,0
133,7,0
134,3,0
135,3,0
136,10,0
137,3,0
138,3,0
139,7,1
140,8,0
141,3,0
142,11,1
143,11,0
144,3,0
145,8,0
146,16,2
147,3,0
148,8,0
149,10,0
150,9,0
151,3,0
152,6,1
153,10,0
154,3,0
155,3,0
156,9,0
157,10,1
158,8,0
159,9,0
160,6,1
161,3,0
162,24,2
163,3,0
164,4,0
165,4,0
166,26,5
167,17,1
168,4,0
169,2,0
170,11,1
171,4,0
172,3,0
173,4,0
174,3,0
175,10,0
176,11,0
177,3,0
178,7,0
179,8,1
180,10,0
181,10,0
182,8,0
183,10,0
184,10,1
185,3,0
186,5,0
187,8,0
188,7,0
189,4,0
190,10,1
191,3,0
192,8,1
193,6,0
194,7,0
195,3,0
196,9,0
197,8,1
198,4,0
199,10,0
200,3,0
201,10,0
202,9,0
203,2,1
204,9,0
205,7,0
206,3,0
207,3,0
208,7,0
209,3,0
210,9,0
211,6,1
212,8,0
213,8,0
214,10,1
215,3,0
216,9,0
217,3,0
218,4,0
219,11,1
220,13,1
221,3,0
222,4,0
223,4,0
224,11,4
225,2,0
226,3,0
227,5,0
228,5,0
229,3,0
230,10,1
231,16,0
232,8,1
233,6,0
234,10,0
235,10,0
236,2,0
237,10,1
238,9,0
239,9,0
240,10,1
241,11,0
242,8,0
243,8,1
244,8,0
245,8,0
246,9,1
247,10,0
248,4,0
249,3,0
250,3,0
251,10,1
252,10,0
253,18,1
254,18,1
255,4,0
256,7,0
257,10,1
258,4,0
259,10,0
260,11,0
261,3,1
262,7,0
263,10,0
264,10,0
265,11,1
266,10,0
267,3,0
268,3,0
269,3,0
270,3,0
271,3,0
272,7,0
273,5,0
274,12,1
275,10,1
276,8,0
277,2,0
278,10,0
279,4,0
280,3,0
281,3,0
282,13,1
283,7,0
284,8,0
285,3,0
286,4,0
287,5,0
288,3,0
289,11,1
290,2,0
291,9,0
292,5,0
293,9,1
294,15,0
295,3,0
296,2,0
297,8,0
298,3,0
299,10,0
300,10,1
301,3,0
302,3,0
303,3,0
304,3,0
305,10,0
306,7,0
307,8,0
308,3,0
309,10,1
310,4,0
311,11,1
312,11,0
313,8,0
314,3,0
315,16,1
316,10,0
317,2,0
318,8,1
319,8,0
320,10,0
321,4,0
322,3,0
323,9,1
324,10,0
325,3,0
326,4,0
327,3,0
328,18,1
329,10,0
330,12,1
331,4,0
332,14,0
333,11,2
334,4,0
335,3,0
336,3,0
337,10,0
338,10,0
339,3,0
340,9,1
341,5,0
342,10,1
343,7,0
344,7,0
345,4,0
346,3,0
347,7,0
348,3,0
349,4,0
350,14,1
351,10,0
352,3,0
353,3,0
354,3,0
355,10,0
356,3,0
357,10,1
358,3,0
359,2,0
360,3,0
361,10,0
362,4,1
363,8,0
364,11,0
365,3,0
366,10,0
367,24,2
368,12,0
369,8,1
370,9,0
371,4,0
372,6,0
373,3,0
374,20,2
375,3,0
376,7,0
377,6,0
378,8,0
379,2,0
380,2,0
381,3,0
382,10,0
383,3,0
384,4,0
385,3,1
386,10,0
387,4,0
388,15,1
389,7,0
390,8,0
391,6,1
392,3,0
393,10,0
394,10,0
395,8,0
396,3,0
397,10,1
398,8,0
399,10,0
400,8,0
401,4,0
402,5,0
403,5,1
404,10,0
405,3,0
406,8,0
407,3,0
408,5,1
409,6,0
410,11,0
411,4,0
412,10,1
413,3,0
414,3,0
415,3,0
416,5,0
417,4,0
418,12,0
419,3,0
420,2,0
421,3,0
422,4,0
423,10,1
424,8,0
425,10,0
426,3,0
427,11,1
428,8,0
429,8,0
430,9,1
431,26,3
432,8,0
433,8,0
434,10,1
435,8,0
436,8,0
437,10,1
438,16,0
439,10,1
440,8,0
441,3,0
442,8,0
443,7,1
444,3,0
445,10,0
446,10,0
447,8,0
448,10,1
449,6,0
450,4,0
451,10,1
452,7,0
453,8,1
454,3,0
455,10,0
456,5,0
457,2,0
458,3,0
459,3,0
460,9,0
461,3,0
462,10,1
463,4,0
464,9,0
465,3,0
466,9,0
467,3,0
468,25,2
469,6,0
470,4,0
471,2,0
472,9,1
473,10,0
474,7,0
475,3,0
476,6,0
477,15,1
478,15,1
479,10,0
480,4,0
481,10,0
482,3,0
483,3,0
484,14,1
485,4,0
486,3,0
487,15,1
488,3,0
489,9,0
490,3,0
491,6,1
492,10,0
493,4,0
494,4,0
495,25,2
496,10,0
497,8,1
498,8,0
499,4,0
