TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,4,0
1,6,0
2,4,1
3,2,0
4,6,0
5,3,1
6,5,0
7,10,1
8,10,0
9,7,1
10,13,2
11,14,1
12,6,0
13,5,1
14,15,0
15,12,4
16,4,0
17,2,0
18,5,1
19,7,0
20,6,1
21,7,0
22,4,0
23,6,1
24,9,1
25,2,0
26,6,0
27,9,1
28,6,0
29,7,0
30,8,1
31,5,0
32,3,0
33,4,1
34,19,3
35,5,0
36,2,0
37,6,1
38,9,0
39,5,0
40,7,1
41,13,1
42,5,0
43,2,1
44,8,0
45,9,1
46,9,0
47,6,0
48,5,1
49,4,0
50,3,0
51,8,1
52,4,0
53,2,0
54,10,1
55,8,1
56,7,0
57,6,0
58,9,1
59,4,1
60,4,0
61,13,0
62,6,1
63,13,0
64,5,1
65,8,0
66,6,1
67,11,2
68,8,1
69,6,1
70,5,0
71,7,1
72,5,0
73,3,0
74,7,1
75,2,0
76,21,3
77,3,0
78,4,0
79,6,1
80,17,1
81,5,0
82,7,1
83,8,0
84,5,1
85,3,0
86,5,0
87,9,0
88,3,1
89,2,0
90,6,0
91,11,1
92,4,0
93,5,0
94,13,2
95,9,0
96,5,1
97,2,0
98,9,0
99,7,1
100,7,1
101,13,1
102,5,0
103,24,4
104,6,1
105,12,1
106,8,0
107,9,2
108,9,0
109,4,1
110,1,0
111,8,1
112,6,0
113,6,0
114,4,1
115,9,0
116,7,1
117,12,2
118,6,0
119,6,1
120,3,0
121,4,0
122,4,0
123,9,2
124,6,0
125,9,0
126,9,1
127,8,1
128,2,0
129,11,1
130,2,0
131,7,0
132,2,0
133,6,1
134,6,0
135,6,0
136,13,1
137,4,0
138,6,0
139,10,2
140,10,0
141,2,0
142,8,1
143,9,2
144,1,0
145,9,1
146,13,1
147,6,1
148,11,0
149,13,1
150,7,0
151,2,0
152,5,1
153,13,1
154,6,0
155,6,0
156,12,1
157,7,1
158,11,0
159,6,1
160,7,1
161,4,0
162,22,3
163,6,0
164,6,0
165,3,0
166,20,8
167,20,1
168,7,1
169,5,0
170,14,1
171,2,0
172,6,1
173,3,0
174,3,0
175,8,1
176,9,0
177,6,1
178,7,0
179,10,1
180,8,1
181,8,1
182,11,1
183,10,0
184,13,2
185,5,1
186,8,0
187,7,1
188,6,0
189,2,0
190,10,1
191,3,1
192,7,0
193,3,1
194,11,0
195,6,0
196,4,1
197,7,0
198,7,1
199,13,0
200,4,0
201,4,1
202,12,0
203,5,0
204,6,1
205,7,0
206,2,1
207,6,0
208,10,0
209,6,1
210,12,0
211,5,1
212,7,0
213,9,1
214,7,1
215,6,0
216,7,0
217,6,1
218,4,0
219,8,0
220,12,2
221,6,0
222,2,0
223,6,1
224,13,2
225,5,0
226,4,0
227,6,0
228,6,1
229,6,0
230,9,1
231,13,3
232,7,0
233,5,1
234,10,1
235,6,0
236,5,0
237,10,1
238,8,0
239,6,1
240,5,0
241,11,2
242,7,0
243,5,1
244,8,0
245,5,0
246,8,1
247,13,1
248,6,0
249,2,0
250,6,0
251,9,1
252,5,1
253,13,2
254,17,2
255,7,1
256,9,1
257,10,1
258,4,0
259,8,1
260,8,1
261,2,0
262,4,0
263,4,1
264,6,0
265,7,1
266,4,0
267,4,0
268,6,1
269,2,0
270,6,0
271,6,0
272,10,1
273,8,0
274,15,1
275,13,2
276,9,0
277,5,0
278,6,1
279,7,0
280,3,0
281,6,1
282,16,1
283,10,1
284,7,0
285,4,0
286,2,0
287,8,1
288,6,0
289,8,1
290,5,0
291,7,0
292,4,1
293,14,0
294,16,2
295,4,0
296,5,0
297,5,1
298,2,0
299,9,0
300,7,1
301,6,0
302,2,1
303,6,0
304,2,0
305,9,1
306,4,0
307,9,1
308,6,0
309,5,0
310,3,1
311,14,0
312,8,1
313,7,1
314,6,0
315,11,1
316,9,1
317,5,0
318,3,1
319,8,0
320,5,0
321,4,1
322,6,0
323,8,1
324,6,1
325,6,0
326,2,0
327,6,0
328,21,3
329,4,0
330,13,2
331,3,0
332,14,1
333,13,3
334,6,0
335,6,0
336,2,0
337,5,1
338,6,0
339,3,0
340,8,1
341,6,0
342,7,1
343,10,1
344,4,0
345,7,0
346,4,1
347,7,0
348,6,0
349,7,0
350,10,1
351,13,1
352,6,0
353,6,1
354,6,0
355,6,1
356,5,0
357,10,1
358,2,1
359,5,0
360,6,0
361,13,2
362,6,1
363,11,0
364,11,2
365,4,0
366,4,1
367,23,4
368,10,1
369,8,0
370,7,1
371,2,0
372,9,0
373,4,1
374,19,3
375,5,0
376,8,1
377,3,0
378,9,1
379,5,0
380,5,0
381,2,0
382,7,1
383,6,0
384,5,1
385,6,0
386,6,0
387,3,1
388,10,1
389,10,1
390,11,1
391,6,0
